code,name,date,type,entry_price,exit_price,pnl,pnl_pct
4909,新復興,2026-01-12,locked,62.2,63.9,1.6999999999999957,0.027331189710610864
5291,邑昇,2026-01-12,locked,40.7,42.35,1.6499999999999986,0.0405405405405405
5425,台半,2026-01-12,locked,59.9,61.1,1.2000000000000028,0.02003338898163611
6239,力成,2026-01-12,locked,220.0,231.0,11.0,0.05
6265,方土昶,2026-01-12,locked,37.95,41.7,3.75,0.09881422924901186
6282,康舒,2026-01-12,not_locked,50.1,48.75,-1.3500000000000014,-0.026946107784431166
6431,光麗-KY,2026-01-12,not_locked,30.25,29.9,-0.3500000000000014,-0.011570247933884344
6443,元晶,2026-01-12,locked,34.8,38.0,3.200000000000003,0.09195402298850584
6465,威潤,2026-01-12,locked,41.45,43.9,2.4499999999999957,0.05910735826296733
6488,環球晶,2026-01-12,locked,472.0,483.5,11.5,0.024364406779661018
6517,保勝光學,2026-01-12,locked,70.9,75.9,5.0,0.0705218617771509
6598,ABC-KY,2026-01-12,not_locked,25.45,24.25,-1.1999999999999993,-0.04715127701375243
6735,美達科技,2026-01-12,not_locked,57.5,56.0,-1.5,-0.02608695652173913
6909,創控,2026-01-12,locked,47.55,48.5,0.9500000000000028,0.019978969505783446
6953,家碩,2026-01-12,locked,260.0,274.0,14.0,0.05384615384615385
7715,裕山,2026-01-12,locked,33.1,36.4,3.299999999999997,0.09969788519637453
7717,萊德光電-KY,2026-01-12,locked,411.0,420.0,9.0,0.021897810218978103
7751,竑騰,2026-01-12,locked,795.0,865.0,70.0,0.0880503144654088
7795,長廣,2026-01-12,not_locked,285.0,276.0,-9.0,-0.031578947368421054
8059,凱碩,2026-01-12,not_locked,24.85,24.6,-0.25,-0.01006036217303823
8064,東捷,2026-01-12,locked,50.8,54.4,3.6000000000000014,0.07086614173228349
8080,泰霖,2026-01-12,locked,35.95,39.5,3.549999999999997,0.09874826147426974
8093,保銳,2026-01-12,locked,20.8,20.8,0.0,0.0
8341,日友,2026-01-12,locked,85.1,87.9,2.8000000000000114,0.032902467685076514
8422,可寧衛*,2026-01-12,locked,42.95,47.2,4.25,0.0989522700814901
8473,山林水,2026-01-12,not_locked,40.35,39.1,-1.25,-0.03097893432465923
8476,台境*,2026-01-12,locked,18.8,20.65,1.8499999999999979,0.09840425531914881
8996,高力,2026-01-12,locked,698.0,712.0,14.0,0.02005730659025788
9955,佳龍,2026-01-12,locked,33.55,35.25,1.7000000000000028,0.05067064083457535
1717,長興,2026-01-13,locked,59.5,62.9,3.3999999999999986,0.05714285714285712
2233,宇隆,2026-01-13,locked,242.0,248.0,6.0,0.024793388429752067
2312,金寶,2026-01-13,locked,27.55,29.7,2.1499999999999986,0.07803992740471864
2404,漢唐,2026-01-13,locked,1080.0,1080.0,0.0,0.0
2406,國碩,2026-01-13,locked,30.85,32.1,1.25,0.04051863857374392
2419,仲琦,2026-01-13,not_locked,30.95,29.8,-1.1499999999999986,-0.037156704361873946
2478,大毅,2026-01-13,locked,71.5,75.0,3.5,0.04895104895104895
2485,兆赫,2026-01-13,locked,30.25,32.35,2.1000000000000014,0.06942148760330583
3073,天方能源,2026-01-13,locked,33.85,35.15,1.2999999999999972,0.038404726735598145
3152,璟德,2026-01-13,not_locked,171.0,166.5,-4.5,-0.02631578947368421
3226,龍鋒,2026-01-13,locked,48.25,48.2,-0.04999999999999716,-0.0010362694300517547
3296,勝德,2026-01-13,not_locked,25.95,24.3,-1.6499999999999986,-0.06358381502890167
3312,弘憶股,2026-01-13,not_locked,44.85,43.8,-1.0500000000000043,-0.02341137123745829
3623,富晶通,2026-01-13,not_locked,34.15,31.9,-2.25,-0.06588579795021962
3669,圓展,2026-01-13,not_locked,44.4,40.85,-3.549999999999997,-0.07995495495495489
4433,興采,2026-01-13,locked,24.2,23.65,-0.5500000000000007,-0.022727272727272756
4556,旭然,2026-01-13,locked,25.85,28.4,2.549999999999997,0.09864603481624747
6221,晉泰,2026-01-13,locked,31.6,31.85,0.25,0.00791139240506329
6239,力成,2026-01-13,locked,242.0,245.5,3.5,0.014462809917355372
6443,元晶,2026-01-13,not_locked,38.25,37.5,-0.75,-0.0196078431372549
6461,益得,2026-01-13,locked,22.05,23.5,1.4499999999999993,0.06575963718820858
6624,萬年清,2026-01-13,locked,66.1,64.0,-2.0999999999999943,-0.03177004538577904
6654,天正國際,2026-01-13,locked,97.0,98.9,1.9000000000000057,0.01958762886597944
